Xrim1,YRim1,XRim2,YRim2,XPaint1,YPaint1,XPaint2,YPaint2,XFC1,YFC1,XFC2,YFC2,X3P1,Y3P1,X3P2,Y3P2,XBackB1,YBackB1,XBackB2,YBackB2,HalfCX,HalfCY,HalfX2,HalfY2,BoundX,BoundY
2.917524697,45.06066017,94.0824753,45.06066017,18.3506383,32,78.6493617,32,24.86965117,48.49527912,72.13034883,48.49527912,24.42592634,60.99680409,72.57407366,60.99680409,2.686170213,48.98,94.31382979,48.98,42.64098713,48.49527912,48.5,-3.2,-1,3
2.898372209,45.02299754,94.10162779,45.02299754,18.3406383,32,78.6593617,32,24.91007206,48.30041539,72.08992794,48.30041539,24.57892165,60.29538681,72.42107835,60.29538681,2.686170213,48.97,94.31382979,48.97,42.60056624,48.30041539,48.5,-3.1,-1,3.2
2.87992355,44.98408854,94.12007645,44.98408854,18.3306383,32,78.6693617,32,24.94869592,48.10424172,72.05130408,48.10424172,24.72544738,59.58900581,72.27455262,59.58900581,2.686170213,48.96,94.31382979,48.96,42.56194238,48.10424172,48.5,-3,-1,3.4
2.862201195,44.94398059,94.1377988,44.94398059,18.3206383,32,78.6793617,32,24.985511,47.90681785,72.014489,47.90681785,24.86545889,58.87787623,72.13454111,58.87787623,2.686170213,48.95,94.31382979,48.95,42.5251273,47.90681785,48.5,-2.9,-1,3.6
2.845226738,44.90272253,94.15477326,44.90272253,18.3106383,32,78.6893617,32,25.02050607,47.70820393,71.97949393,47.70820393,24.99891354,58.16221472,72.00108646,58.16221472,2.686170213,48.94,94.31382979,48.94,42.49013223,47.70820393,48.5,-2.8,-1,3.8
2.829020859,44.86036465,94.17097914,44.86036465,18.3006383,32,78.6993617,32,25.05367048,47.50846046,71.94632952,47.50846046,25.12577068,57.44223926,71.87422932,57.44223926,2.686170213,48.93,94.31382979,48.93,42.45696782,47.50846046,48.5,-2.7,-1,4
2.813603301,44.81695855,94.1863967,44.81695855,18.2906383,32,78.7093617,32,25.08499412,47.30764827,71.91500588,47.30764827,25.24599166,56.71816916,71.75400834,56.71816916,2.686170213,48.92,94.31382979,48.92,42.42564418,47.30764827,48.5,-2.6,-1,4.2
2.79899285,44.77255711,94.20100715,44.77255711,18.2806383,32,78.7193617,32,25.11446746,47.10582854,71.88553254,47.10582854,25.35953986,55.99022498,71.64046014,55.99022498,2.686170213,48.91,94.31382979,48.91,42.39617084,47.10582854,48.5,-2.5,-1,4.4
2.785207306,44.72721443,94.21479269,44.72721443,18.2706383,32,78.7293617,32,25.1420815,46.90306275,71.8579185,46.90306275,25.4663807,55.25862846,71.5336193,55.25862846,2.686170213,48.9,94.31382979,48.9,42.36855679,46.90306275,48.5,-2.4,-1,4.6
2.772263464,44.68098575,94.22773654,44.68098575,18.2606383,32,78.7393617,32,25.16782786,46.69941265,71.83217214,46.69941265,25.56648162,54.52360246,71.43351838,54.52360246,2.686170213,48.89,94.31382979,48.89,42.34281044,46.69941265,48.5,-2.3,-1,4.8
2.760177094,44.63392739,94.23982291,44.63392739,18.2506383,32,78.7493617,32,25.19169867,46.49494029,71.80830133,46.49494029,25.65981215,53.78537086,71.34018785,53.78537086,2.686170213,48.88,94.31382979,48.88,42.31893963,46.49494029,48.5,-2.2,-1,5
2.748962922,44.58609669,94.25103708,44.58609669,18.2406383,32,78.7593617,32,25.21368667,46.28970794,71.78631333,46.28970794,25.74634384,53.04415855,71.25365616,53.04415855,2.686170213,48.87,94.31382979,48.87,42.29695163,46.28970794,48.5,-2.1,-1,5.2
2.73863461,44.53755192,94.26136539,44.53755192,18.2306383,32,78.7693617,32,25.23378516,46.08377813,71.76621484,46.08377813,25.82605035,52.3001913,71.17394965,52.3001913,2.686170213,48.86,94.31382979,48.86,42.27685314,46.08377813,48.5,-2,-1,5.4
2.729204742,44.48835223,94.27079526,44.48835223,18.2206383,32,78.7793617,32,25.25198802,45.87721358,71.74801198,45.87721358,25.89890738,51.55369573,71.10109262,51.55369573,2.686170213,48.85,94.31382979,48.85,42.25865027,45.87721358,48.5,-1.9,-1,5.6
2.720684807,44.43855756,94.27931519,44.43855756,18.2106383,32,78.7893617,32,25.26828971,45.67007721,71.73171029,45.67007721,25.96489276,50.80489923,71.03510724,50.80489923,2.686170213,48.84,94.31382979,48.84,42.24234859,45.67007721,48.5,-1.8,-1,5.8
2.713085185,44.38822857,94.28691481,44.38822857,18.2006383,32,78.7993617,32,25.28268526,45.46243212,71.71731474,45.46243212,26.02398637,50.05402989,70.97601363,50.05402989,2.686170213,48.83,94.31382979,48.83,42.22795304,45.46243212,48.5,-1.7,-1,6
2.706415135,44.33742658,94.29358487,44.33742658,18.1906383,32,78.8093617,32,25.29517027,45.25434156,71.70482973,45.25434156,26.07617022,49.30131644,70.92382978,49.30131644,2.686170213,48.82,94.31382979,48.82,42.21546802,45.25434156,48.5,-1.6,-1,6.2
2.700682783,44.28621349,94.29931722,44.28621349,18.1806383,32,78.8193617,32,25.30574096,45.04586891,71.69425904,45.04586891,26.12142842,48.54698815,70.87857158,48.54698815,2.686170213,48.81,94.31382979,48.81,42.20489733,45.04586891,48.5,-1.5,-1,6.4
2.695895114,44.2346517,94.30410489,44.2346517,18.1706383,32,78.8293617,32,25.3143941,44.83707768,71.6856059,44.83707768,26.15974717,47.79127481,70.84025283,47.79127481,2.686170213,48.8,94.31382979,48.8,42.19624419,44.83707768,48.5,-1.4,-1,6.6
2.69205796,44.18280402,94.30794204,44.18280402,18.1606383,32,78.8393617,32,25.32112706,44.62803147,71.67887294,44.62803147,26.1911148,47.03440661,70.8088852,47.03440661,2.686170213,48.79,94.31382979,48.79,42.18951124,44.62803147,48.5,-1.3,-1,6.8
2.689175996,44.13073361,94.310824,44.13073361,18.1506383,32,78.8493617,32,25.32593778,44.41879396,71.67406222,44.41879396,26.21552176,46.2766141,70.78447824,46.2766141,2.686170213,48.78,94.31382979,48.78,42.18470052,44.41879396,48.5,-1.2,-1,7
2.687252735,44.07850393,94.31274727,44.07850393,18.1406383,32,78.8593617,32,25.3288248,44.20942888,71.6711752,44.20942888,26.23296062,45.51812811,70.76703938,45.51812811,2.686170213,48.77,94.31382979,48.77,42.1818135,44.20942888,48.5,-1.1,-1,7.2
